hjd,camera,mag,mag_err,flux,flux_err
2457835.83527,be,15.563,0.06001,2.284,0.126
2458010.56851,be,16.223,0.09597,1.244,0.11
2458379.51312,be,16.037,0.08446,1.475,0.115
2457839.70051,be,15.657,0.06426,2.096,0.124
2458216.7964,be,15.954,0.07965,1.593,0.117
2458375.5393,be,15.644,0.06366,2.119,0.124
2457915.72662,be,15.709,0.06675,1.997,0.123
2457548.54605,be,15.918,0.07763,1.648,0.118
2458157.85996,be,16.005,0.08258,1.52,0.115
2458160.81631,be,15.597,0.06151,2.214,0.125
2458332.50822,be,15.844,0.07361,1.764,0.119
2457893.76333,be,15.565,0.06009,2.28,0.126
2458306.58271,be,15.865,0.07473,1.729,0.119
2458356.60363,be,16.221,0.09584,1.245,0.11
2458204.75596,be,15.643,0.06361,2.121,0.124
2458192.83014,be,15.573,0.06044,2.264,0.126
2457480.88485,be,15.624,0.06274,2.159,0.125
2457966.66142,be,15.989,0.08165,1.542,0.116
2458134.86445,be,15.583,0.06089,2.242,0.126
2458162.80713,be,15.662,0.0645,2.085,0.124
2458135.86428,be,15.626,0.06283,2.155,0.125
2457801.82685,be,15.524,0.05832,2.368,0.127
2458368.58357,be,15.604,0.06183,2.199,0.125
2457972.67109,be,15.951,0.07948,1.598,0.117
2458215.89739,be,16.029,0.08399,1.487,0.115
2458025.51416,be,16.11,0.08886,1.381,0.113
2458145.84942,be,15.704,0.0665,2.007,0.123
2458229.77073,be,15.809,0.07177,1.821,0.12
2457634.55328,be,15.55,0.05944,2.312,0.126
2457567.75234,be,15.672,0.06497,2.066,0.123
2458144.8536,be,15.876,0.07533,1.712,0.119
2457903.85227,be,15.717,0.06714,1.982,0.122
2457934.62673,be,15.76,0.06927,1.906,0.121
2457790.8237,be,15.782,0.07038,1.867,0.121
2458224.81953,be,15.812,0.07193,1.816,0.12
2458308.75272,be,16.073,0.08661,1.428,0.114
2457585.64161,be,15.581,0.0608,2.246,0.126
2458227.81605,be,16.109,0.0888,1.381,0.113
2458196.81944,be,15.786,0.07059,1.86,0.121
2457917.6471,be,15.532,0.05866,2.351,0.127
2457984.50506,be,15.489,0.05686,2.445,0.128
2457769.86445,be,15.942,0.07897,1.612,0.117
2458342.66751,be,15.564,0.06005,2.282,0.126
2458354.60355,be,15.653,0.06408,2.102,0.124
2457660.50982,be,15.602,0.06174,2.204,0.125
2458206.79989,be,16.06,0.08583,1.445,0.114
2458210.75917,be,15.603,0.06178,2.201,0.125
