hjd,camera,mag,mag_err,flux,flux_err
2457356.74307,bc,14.237,0.02575,8.009,0.19
2458434.79557,bc,14.246,0.02584,7.942,0.189
2457333.76123,bd,14.305,0.02695,7.277,0.18
2458299.05954,bd,14.157,0.02529,8.337,0.194
2457736.73013,bd,14.311,0.02702,7.236,0.18
2458307.93627,bc,14.203,0.02539,8.259,0.193
2457877.11779,bd,14.277,0.02661,7.465,0.183
2457145.10396,bd,14.195,0.02568,8.051,0.19
2457694.80844,bc,14.216,0.02553,8.166,0.192
2457241.04486,bd,14.235,0.02612,7.759,0.186
2457972.93513,bd,14.282,0.02667,7.43,0.182
2457940.909,bc,14.27,0.02611,7.767,0.187
2457721.77805,bd,14.248,0.02627,7.669,0.185
2457998.79022,bd,14.239,0.02616,7.732,0.186
2458255.05294,bc,14.279,0.02621,7.706,0.186
2457935.07066,bd,14.217,0.02592,7.891,0.188
2458012.91196,bd,14.331,0.02728,7.105,0.178
2458070.81824,bd,14.289,0.02675,7.383,0.182
2458371.93339,bd,14.252,0.02631,7.642,0.185
2458004.96695,bd,14.22,0.02595,7.865,0.188
2457206.95667,bc,14.21,0.02546,8.21,0.192
2457617.9211,bd,14.229,0.02605,7.804,0.187
2457007.73193,bd,14.352,0.02755,6.967,0.177
2457183.05938,bc,14.221,0.02558,8.125,0.191
2458312.03647,bc,14.377,0.0274,7.042,0.178
2457558.00445,bd,14.25,0.02629,7.652,0.185
2458338.95984,bd,14.307,0.02697,7.265,0.18
2457272.7405,bc,14.346,0.02701,7.241,0.18
2457596.99981,bd,14.234,0.02611,7.767,0.187
2458278.08312,bc,14.35,0.02706,7.219,0.18
2457981.94639,bc,14.282,0.02624,7.679,0.185
2457960.01166,bc,14.237,0.02575,8.005,0.19
2457612.89951,bd,14.221,0.02596,7.863,0.188
2457135.12105,bc,14.308,0.02655,7.503,0.183
2457488.1372,bc,14.247,0.02585,7.933,0.189
2457512.08275,bc,14.241,0.02579,7.976,0.189
2457184.08734,bd,14.31,0.02701,7.242,0.18
2457272.87629,bd,14.278,0.02662,7.462,0.183
2457688.86592,bd,14.3,0.02689,7.308,0.181
2457304.92035,bd,14.245,0.02623,7.689,0.186
2457673.75719,bc,14.222,0.02559,8.118,0.191
2457136.10157,bc,14.266,0.02606,7.793,0.187
2458064.85795,bd,14.215,0.0259,7.902,0.188
2457745.70599,bd,14.248,0.02627,7.667,0.185
2457679.84674,bd,14.262,0.02643,7.569,0.184
2457637.84874,bc,14.244,0.02582,7.957,0.189
2457977.9785,bc,14.395,0.02764,6.925,0.176
2458321.98482,bd,14.233,0.0261,7.774,0.187
2457943.95385,bc,14.332,0.02684,7.34,0.181
2457163.05435,bc,14.346,0.02701,7.244,0.18
2457661.91018,bc,14.254,0.02593,7.881,0.188
2457621.84454,bd,14.305,0.02695,7.275,0.18
2457706.8135,bd,14.24,0.02618,7.723,0.186
2457241.95728,bc,14.294,0.02638,7.598,0.184
2457235.97073,bd,14.426,0.02857,6.506,0.171
2457886.05609,bc,14.244,0.02582,7.959,0.189
